,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,provinceID,lockdate,label
7477,48,2021-06-30,76,2.0,3453.0,151.0,,,
7478,47,2021-06-30,31,0.0,1506.0,60.0,,,
7479,46,2021-06-30,70,1.0,1197.0,81.0,,,
7480,35,2021-06-30,184,14.0,28306.0,322.0,,,
7481,24,2021-06-30,126,3.0,21781.0,110.0,,,
7482,10,2021-06-30,1,0.0,527.0,1.0,,,
7483,13,2021-06-30,3,0.0,506.0,4.0,,,
7484,12,2021-06-30,4,0.0,2440.0,0.0,,,
7485,11,2021-06-30,0,0.0,199.0,0.0,,,
7486,60,2021-06-30,10,1.0,0.0,56.0,,,
7487,61,2021-06-30,0,0.0,45.0,0.0,,,
7488,62,2021-06-30,0,0.0,114.0,0.0,,,
7489,99,2021-06-30,0,0.0,0.0,0.0,,,
7490,1,2021-06-30,548,21.0,62821.0,886.0,,,
7491,59,2021-07-01,49,0.0,5042.0,0.0,,,
7492,48,2021-07-01,67,0.0,6335.0,0.0,,,
7493,47,2021-07-01,7,0.0,1904.0,22.0,,,
7494,46,2021-07-01,85,0.0,1756.0,0.0,,,
7495,35,2021-07-01,284,19.0,27258.0,257.0,,,
7496,24,2021-07-01,93,4.0,18099.0,0.0,,,
7497,10,2021-07-01,0,0.0,822.0,0.0,,,
7498,13,2021-07-01,0,0.0,626.0,0.0,,,
7499,12,2021-07-01,4,0.0,4029.0,8.0,,,
7500,11,2021-07-01,0,0.0,221.0,0.0,,,
7501,60,2021-07-01,15,0.0,0.0,11.0,,,
7502,61,2021-07-01,0,0.0,31.0,0.0,,,
7503,62,2021-07-01,0,0.0,44.0,0.0,,,
7504,99,2021-07-01,0,0.0,0.0,0.0,,,
7505,1,2021-07-01,604,23.0,66167.0,298.0,,,
7506,59,2021-07-02,35,2.0,4646.0,168.0,,,
7507,48,2021-07-02,43,0.0,5240.0,270.0,,,
7508,47,2021-07-02,21,0.0,1779.0,36.0,,,
7509,46,2021-07-02,54,7.0,1537.0,475.0,,,
7510,35,2021-07-02,200,9.0,27258.0,281.0,,,
7511,24,2021-07-02,69,3.0,17014.0,205.0,,,
7512,10,2021-07-02,1,0.0,753.0,2.0,,,
7513,13,2021-07-02,3,0.0,455.0,3.0,,,
7514,12,2021-07-02,2,0.0,3967.0,6.0,,,
7515,11,2021-07-02,0,0.0,261.0,0.0,,,
7516,60,2021-07-02,0,0.0,0.0,0.0,,,
7517,61,2021-07-02,0,0.0,51.0,0.0,,,
7518,62,2021-07-02,0,0.0,54.0,0.0,,,
7519,99,2021-07-02,0,0.0,0.0,0.0,,,
7520,1,2021-07-02,428,21.0,63015.0,1446.0,,,
7521,59,2021-07-03,30,0.0,6063.0,0.0,,,
7522,48,2021-07-03,42,0.0,5492.0,0.0,,,
7523,47,2021-07-03,49,0.0,1679.0,33.0,,,
7524,46,2021-07-03,47,1.0,1871.0,91.0,,,
7525,35,2021-07-03,209,9.0,25161.0,262.0,,,
7526,24,2021-07-03,0,0.0,0.0,0.0,,,
7527,10,2021-07-03,0,0.0,732.0,0.0,,,
7528,13,2021-07-03,0,0.0,690.0,3.0,,,
7529,12,2021-07-03,8,0.0,2971.0,3.0,,,
7530,11,2021-07-03,0,0.0,49.0,0.0,,,
7531,60,2021-07-03,31,0.0,0.0,19.0,,,
