,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
4692,61,20210113,0.0,0.0,0.0,52.0,0.0,0.0,0.0,30.8509473498133,0.0,0.0,0.0,951.7809523809522,0.0,,,0.11019011246096468,,,,-1.4572075404044678,
4707,61,20210114,0.0,0.0,0.0,54.0,0.0,0.0,0.0,31.64640956088444,0.0,0.0,0.0,1001.4952380952382,0.0,,,-0.16778757737824931,,,,-1.5276003096224129,
4722,61,20210115,0.0,0.0,0.0,54.0,0.0,0.25819888974716126,0.0,31.240541425708816,0.0,0.06666666666666675,0.0,975.9714285714286,0.0,3.87298334620729,,-0.14724743606170124,,14.999999999994065,,-1.4658890955837245,
4737,61,20210116,0.0,0.0,0.0,54.0,0.0,0.25819888974716126,0.0,33.634307881487125,0.0,0.06666666666666675,0.0,1131.2666666666669,0.0,3.87298334620729,,-0.052317836919920056,,14.999999999994065,,-1.4793272619244777,
4752,61,20210117,0.0,0.0,0.0,61.0,0.0,0.7988086367179803,0.0,39.647494366275026,0.0,0.6380952380952382,0.0,1571.9238095238102,0.0,3.325848389454009,,0.17215178596760244,,11.391178436177302,,-0.8157959355395664,
4767,61,20210118,0.0,0.0,0.0,69.0,0.0,0.7988086367179803,0.0,39.14782728265238,0.0,0.6380952380952382,0.0,1532.5523809523818,0.0,3.325848389454009,,-0.120609947988003,,11.391178436177302,,-0.7607687949184998,
4782,61,20210119,0.0,0.0,0.0,69.0,0.0,0.9102589898327995,0.0,36.48417791447738,0.0,0.8285714285714286,0.0,1331.095238095239,0.0,2.3079099239152323,,-0.05153549796443635,,4.664319034116941,,-0.4818176035879356,
4797,61,20210120,0.0,0.0,0.0,76.0,0.0,0.9102589898327995,0.0,46.17183227074812,0.0,0.8285714285714286,0.0,2131.838095238097,0.0,2.3079099239152323,,0.8075162987396578,,4.664319034116941,,1.56279623025524,
4812,61,20210121,0.0,0.0,0.0,84.0,0.0,0.915475416434127,0.0,66.4757743198872,0.0,0.8380952380952383,0.0,4419.028571428574,0.0,2.046206500605184,,1.4148378114364168,,3.6462968849332458,,2.610207131120351,
4827,61,20210122,0.0,0.0,0.0,84.0,0.0,0.915475416434127,0.0,67.15312991322787,0.0,0.8380952380952383,0.0,4509.54285714286,0.0,2.046206500605184,,1.2725565380071295,,3.6462968849332458,,2.134337188106781,
