,pruid,date,Class
367,1.0,2021-03-17,0.0
368,1.0,2021-03-18,0.0
369,1.0,2021-03-19,0.0
370,1.0,2021-03-20,0.0
371,1.0,2021-03-21,0.0
372,1.0,2021-03-22,0.0
373,1.0,2021-03-23,0.0
374,1.0,2021-03-24,0.0
375,1.0,2021-03-25,0.0
376,1.0,2021-03-26,0.0
377,1.0,2021-03-27,0.0
378,1.0,2021-03-28,0.0
379,1.0,2021-03-29,0.0
380,1.0,2021-03-30,0.0
381,1.0,2021-03-31,0.0
382,1.0,2021-04-01,0.0
383,1.0,2021-04-02,0.0
384,1.0,2021-04-03,0.0
385,1.0,2021-04-04,0.0
386,1.0,2021-04-05,0.0
387,1.0,2021-04-06,0.0
388,1.0,2021-04-07,0.0
389,1.0,2021-04-08,0.0
390,1.0,2021-04-09,0.0
391,1.0,2021-04-10,0.0
392,1.0,2021-04-11,0.0
393,1.0,2021-04-12,0.0
394,1.0,2021-04-13,0.0
395,1.0,2021-04-14,0.0
396,1.0,2021-04-15,0.0
397,1.0,2021-04-16,0.0
398,1.0,2021-04-17,0.0
399,1.0,2021-04-18,0.0
400,1.0,2021-04-19,0.0
401,1.0,2021-04-20,0.0
402,1.0,2021-04-21,0.0
403,1.0,2021-04-22,0.0
404,1.0,2021-04-23,0.0
405,1.0,2021-04-24,0.0
406,1.0,2021-04-25,0.0
407,1.0,2021-04-26,0.0
408,1.0,2021-04-27,0.0
409,1.0,2021-04-28,0.0
410,1.0,2021-04-29,0.0
411,1.0,2021-04-30,0.0
412,1.0,2021-05-01,0.0
413,1.0,2021-05-02,0.0
414,1.0,2021-05-03,0.0
415,1.0,2021-05-04,0.0
416,1.0,2021-05-05,0.0
417,1.0,2021-05-06,0.0
418,1.0,2021-05-07,0.0
419,1.0,2021-05-08,0.0
420,1.0,2021-05-09,0.0
421,1.0,2021-05-10,0.0
422,1.0,2021-05-11,0.0
423,1.0,2021-05-12,0.0
424,1.0,2021-05-13,0.0
425,1.0,2021-05-14,0.0
426,1.0,2021-05-15,0.0
427,1.0,2021-05-16,0.0
428,1.0,2021-05-17,0.0
429,1.0,2021-05-18,0.0
430,1.0,2021-05-19,0.0
431,1.0,2021-05-20,0.0
432,1.0,2021-05-21,0.0
433,1.0,2021-05-22,0.0
434,1.0,2021-05-23,0.0
435,1.0,2021-05-24,0.0
436,1.0,2021-05-25,0.0
437,1.0,2021-05-26,0.0
438,1.0,2021-05-27,0.0
