,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
3160,99,20201003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.025176546524893,42.64917169505451,0.2904625933392995,0.29145049472983814,1356.4566382856344,1454.9770747168209,21.319475701935907,25.566590917003612
3175,99,20201004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3279661547541,42.85753384759073,0.2837067721215318,0.29362894668959455,1363.7708832385686,1460.3154863214263,20.005513033277946,25.359569424762377
3190,99,20201005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.81470047513766,43.08276671949196,0.2774933317568767,0.2958631033143583,1371.0549386663886,1466.0207595341165,18.795477845989236,25.148730660796954
3205,99,20201006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.49096736601682,43.32389382890953,0.2723772759988852,0.29812581503123264,1378.4844120316106,1472.0831213532854,17.752286167626423,24.93453781404997
3220,99,20201007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.384854338477933,43.57982025935041,0.268675788128799,0.3003809091221954,1386.4932565071244,1478.4831199796054,16.94246128602939,24.717909033982956
3235,99,20201008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.517304493593567,43.849740429572115,0.2662594225767494,0.3025857077028508,1395.484111955188,1485.1915891864169,16.39147852114757,24.50008212350304
3250,99,20201009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.885393375885453,44.133394519867345,0.26473099903091846,0.3046959944374273,1405.4903339453952,1492.1742452691308,16.098036880504747,24.282356566699942
3265,99,20201010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.43785211580122,44.43045052754286,0.26397443026317735,0.30667224980417873,1416.1297245410203,1499.3912384344112,16.027292075454074,24.06582789050164
3280,99,20201011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.10229630550226,44.74077617161407,0.2642975088236013,0.3084914769109346,1426.6950910012238,1506.7986456934777,16.132775068872494,23.851728115414744
3295,99,20201012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.801035070930254,45.06424537012059,0.26593189689343966,0.31013675127316714,1436.4442549789776,1514.350418407093,16.359858286350182,23.641801249178542
3310,99,20201013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.493363210513216,45.40080957702879,0.2687079599314128,0.3115872462319483,1445.190894597346,1522.0021518044862,16.66684172293625,23.43851819265941
3325,99,20201014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.208333353992483,45.75036938285095,0.2729655432856044,0.3128208572111409,1453.2887403082534,1529.7094314473445,17.044182803201615,23.244677349939685
3340,99,20201015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.995268780114966,46.11282907984075,0.27878057430097053,0.3138231150195601,1461.5509231842598,1537.4288506036837,17.508723936553515,23.062997375167523
3355,99,20201016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.896823396792826,46.48829051763931,0.28568843452321047,0.3145920586784384,1470.8817585898819,1545.1220309882267,18.086983555976182,22.896116546180778
3370,99,20201017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96790019882385,46.877004735362945,0.29312211624945267,0.3151295750863013,1481.677488189807,1552.7512629547073,18.770285059290508,22.746371067675756
3385,99,20201018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29662017411882,47.279849102114085,0.30055728694959905,0.3154464622181638,1493.7521212980982,1560.2806394586805,19.52789670053203,22.615990668486425
3400,99,20201019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.939578981909996,47.69790272854782,0.3075487123046734,0.31556678686930356,1506.8939761997258,1567.6810051097245,20.314429753158944,22.507098717141833
3415,99,20201020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.86449336175315,48.132060210648135,0.31379764017974887,0.315511513962077,1520.895039718869,1574.9274566579138,21.086178532953085,22.42174827110907
3430,99,20201021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9954991344982,48.58285334597614,0.31921601644465225,0.3152966747535857,1535.3850618920428,1581.9969718291695,21.82845594117518,22.36162774746172
3445,99,20201022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24775995891362,49.050454911671764,0.323654209939269,0.3149374329035354,1550.0597588722835,1588.8681329414735,22.51537797384901,22.327862185932588
3460,99,20201023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.51790386538805,49.534596861232025,0.32698990229865244,0.31445257019599715,1564.3055465199182,1595.521683168522,23.10657176611578,22.320618654372097
3475,99,20201024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.70946946748792,50.03507752689491,0.3295749410746717,0.3138671386546596,1577.6114281455837,1601.940783042933,23.557917450516943,22.339576544507825
3490,99,20201025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7935981148786,50.55160385989173,0.3318409314146127,0.31320810752997713,1589.8394789339345,1608.1053180898882,23.844954429232573,22.38400547932062
3506,99,20201026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.947592878875525,51.119906249738996,0.33436421197403365,0.3124595076153792,1602.2559407026727,1614.373682870763,23.981720510499656,22.459074873946687
