,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
53,59,20200309,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.76371041140262,0.2581988897471611,0.0,0.0,7.6380952380952385,0.06666666666666667,0.0,0.0,1.4430609490799362,3.87298334620729,0.0,0.0,1.4174206594920156,14.999999999994065,0.0,0.0
54,24,20200309,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5345224838248488,0.0,0.0,0.0,0.28571428571428575,0.0,0.0,0.0,-0.3741669330010008,0.0,0.0,0.0,-2.805339060035795,0.0,0.0,0.0
55,48,20200309,6,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5355339059327378,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,20200309,15,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.564876256602718,0.2581988897471611,0.0,0.0,20.83809523809524,0.06666666666666667,0.0,0.0,1.0143531973307924,3.8729833491513674,0.0,0.0,0.06269033075240643,15.000000965256376,0.0,0.0
57,59,20200311,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.039423504234847,0.2581988897471611,0.0,0.0,9.238095238095237,0.06666666666666667,0.0,0.0,1.1304003072083444,3.87298334620729,0.0,0.0,-0.06197855821760028,14.999999999994065,0.0,0.0
58,48,20200311,7,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.214550253664318,0.0,0.0,0.0,10.333333333333332,0.0,0.0,0.0,-1.5453925387470573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,47,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,46,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,35,20200311,8,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.6939084723024385,0.2581988897471611,0.0,0.0,7.257142857142857,0.06666666666666667,0.0,0.0,0.8974416490010318,3.87298334623759,0.0,0.0,-0.44185407720782566,15.000000003703676,0.0,0.0
62,24,20200311,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.991031208965115,0.0,0.0,0.0,0.9821428571428573,0.0,0.0,0.0,1.4860553930134748,0.0,0.0,0.0,2.973090909090909,0.0,0.0,0.0
63,13,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,10,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,12,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,11,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,61,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,62,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,60,20200311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,99,20200311,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1,20200311,26,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.069047218078867,0.3518657752744984,0.0,0.0,49.971428571428575,0.12380952380952381,0.0,0.0,1.713331935628473,2.4047631385980046,0.0,0.0,3.2543936019702877,4.349112354861093,0.0,0.0
72,59,20200312,7,0.0,809.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2396354880199243,0.2581988897471611,208.88290180545334,0.0,10.495238095238093,0.06666666666666667,43632.066666666666,0.0,0.7558765463842586,3.87298334620729,3.87298334620497,0.0,-1.0657726115409223,14.999999999994065,14.99999999959754,0.0
73,48,20200312,5,0.0,784.0,0.0,0.0,5.5,0.0,0.0,0.0,2.629955639676583,0.0,392.0,0.0,6.916666666666665,0.0,153664.0,0.0,-1.4430588355316425,0.0,1.9999999999999996,0.0,2.23486717956162,0.0,4.0,0.0
74,47,20200312,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,46,20200312,1,0.0,104.0,0.0,0.0,0.5,0.0,52.0,0.0,0.7071067811865476,0.0,73.53910524340094,0.0,0.5,0.0,5408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,35,20200312,17,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.495500395898526,0.2581988897471611,0.0,0.0,20.20952380952381,0.06666666666666667,0.0,0.0,2.0253623047518268,3.87298334623759,0.0,0.0,4.900011975708348,15.000000003703676,0.0,0.0
77,24,20200312,6,0.0,131.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9436506316151,0.0,43.666666666666664,0.0,3.7777777777777777,0.0,1906.7777777777778,0.0,1.946112612884666,0.0,3.0000000094421075,0.0,3.8699198611312444,0.0,9.000000000000004,0.0
78,10,20200312,0,0.0,21.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,14.849242404917497,0.0,0.0,0.0,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,13,20200312,1,0.0,16.0,0.0,0.0,0.5,0.0,8.0,0.0,0.7071067811865476,0.0,11.313708498984761,0.0,0.5,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,12,20200312,0,0.0,13.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,9.192388155425117,0.0,0.0,0.0,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,11,20200312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,60,20200312,0,0.0,32.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,22.627416997969522,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,61,20200312,0,0.0,5.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.5355339059327378,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,62,20200312,0,0.0,-23.0,0.0,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,16.263455967290593,0.0,0.0,0.0,264.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,99,20200312,0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.7071067811865476,0.0,0.7071067811865476,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1,20200312,38,0.0,1893.0,0.0,0.0,6.0,0.0,0.0,0.0,10.615801340230425,0.3518657752744984,488.77049829137604,0.0,112.6952380952381,0.12380952380952381,238896.6,0.0,1.8707398229874952,2.4047631385980046,3.8729833468069814,0.0,3.4106428735272196,4.349112354861093,15.0,0.0
87,59,20200313,7,0.0,1252.0,0.0,0.0,1.0,0.0,0.0,0.0,3.377798663260409,0.2581988897471611,372.1370331323818,0.0,11.409523809523808,0.06666666666666667,138485.97142857144,0.0,0.4321383627102398,3.87298334620729,2.6449780082510403,0.0,-1.6122510579770117,14.999999999994065,6.266505634571465,0.0
88,48,20200313,4,0.0,1334.0,0.0,0.0,5.0,0.0,0.0,0.0,2.3021728866442674,0.0,611.7653144793353,0.0,5.299999999999999,0.0,374256.8,0.0,-1.0326585415807754,0.0,1.0434046881015218,0.0,1.1285125919456387,0.0,-0.8568708578093857,0.0
