,pruid,date,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday
292,60,20200326,0,0.0,0.0,0.0
293,61,20200326,0,0.0,0.0,0.0
294,62,20200326,0,0.0,19.0,0.0
295,99,20200326,0,0.0,0.0,0.0
296,1,20200326,634,4.0,13814.0,230.0
297,59,20200327,0,0.0,1298.0,0.0
298,48,20200327,56,0.0,1615.0,0.0
299,47,20200327,9,0.0,631.0,0.0
300,46,20200327,3,1.0,593.0,0.0
301,35,20200327,135,3.0,2434.0,0.0
302,24,20200327,392,10.0,1045.0,27.0
303,10,20200327,20,0.0,237.0,0.0
304,13,20200327,12,0.0,330.0,1.0
305,12,20200327,17,0.0,529.0,0.0
306,11,20200327,2,0.0,69.0,0.0
307,60,20200327,0,0.0,187.0,0.0
308,61,20200327,0,0.0,64.0,0.0
309,62,20200327,0,0.0,9.0,0.0
310,99,20200327,0,0.0,0.0,0.0
311,1,20200327,646,14.0,9041.0,26.0
312,59,20200328,159,2.0,0.0,210.0
313,48,20200328,0,0.0,0.0,26.0
314,47,20200328,30,0.0,649.0,0.0
315,46,20200328,25,0.0,909.0,0.0
316,35,20200328,0,0.0,2185.0,0.0
317,24,20200328,477,4.0,11731.0,0.0
318,10,20200328,18,0.0,223.0,4.0
319,13,20200328,6,0.0,333.0,1.0
320,12,20200328,20,0.0,541.0,2.0
321,11,20200328,0,0.0,0.0,0.0
322,60,20200328,1,0.0,38.0,0.0
323,61,20200328,0,0.0,195.0,0.0
324,62,20200328,0,0.0,0.0,0.0
325,99,20200328,0,0.0,0.0,0.0
326,1,20200328,736,6.0,16804.0,246.0
327,59,20200329,0,1.0,1940.0,0.0
328,48,20200329,79,0.0,5882.0,20.0
329,47,20200329,0,0.0,813.0,1.0
330,46,20200329,8,0.0,945.0,0.0
331,35,20200329,362,1.0,6166.0,0.0
332,24,20200329,342,0.0,6117.0,0.0
333,10,20200329,15,0.0,200.0,0.0
334,13,20200329,15,0.0,335.0,0.0
335,12,20200329,12,0.0,497.0,0.0
336,11,20200329,0,0.0,55.0,0.0
337,60,20200329,0,0.0,37.0,0.0
338,61,20200329,0,0.0,0.0,0.0
339,62,20200329,0,0.0,0.0,0.0
340,99,20200329,0,0.0,0.0,0.0
341,1,20200329,833,2.0,22987.0,20.0
342,59,20200330,76,2.0,1493.0,73.0
343,48,20200330,69,6.0,1960.0,21.0
344,47,20200330,41,2.0,550.0,10.0
345,46,20200330,24,0.0,450.0,1.0
346,35,20200330,351,14.0,2110.0,423.0
347,24,20200330,590,3.0,7511.0,0.0
348,10,20200330,13,1.0,225.0,3.0
349,13,20200330,2,0.0,420.0,0.0
350,12,20200330,5,0.0,508.0,6.0
351,11,20200330,7,0.0,0.0,0.0
352,60,20200330,1,0.0,10.0,0.0
353,61,20200330,0,0.0,0.0,0.0
354,62,20200330,0,0.0,33.0,0.0
355,99,20200330,0,0.0,0.0,9.0
356,1,20200330,1179,28.0,15270.0,546.0
357,59,20200331,10,0.0,1055.0,38.0
358,48,20200331,64,1.0,2635.0,26.0
359,47,20200331,9,0.0,0.0,7.0
360,46,20200331,7,0.0,303.0,2.0
361,35,20200331,260,0.0,1797.0,103.0
362,24,20200331,732,6.0,7825.0,0.0
363,10,20200331,4,0.0,168.0,0.0
364,13,20200331,2,0.0,363.0,7.0
365,12,20200331,20,0.0,1122.0,0.0
366,11,20200331,3,0.0,74.0,0.0
367,60,20200331,0,0.0,14.0,0.0
368,61,20200331,0,0.0,68.0,0.0
369,62,20200331,0,0.0,9.0,0.0
370,99,20200331,0,0.0,0.0,3.0
371,1,20200331,1111,7.0,15433.0,186.0
372,59,20200401,96,6.0,340.0,99.0
373,48,20200401,0,0.0,4449.0,22.0
374,47,20200401,9,1.0,830.0,9.0
